"SeqTxtPadrao","Aplicacao","Descricao","AssPadrao","Texto","DtaInclusao","UsuInclusao","DtaAlteracao","UsuAlteracao","HoraAGUARDARET","IDEXTERNO"
"22","MsCtr_Andamento_EML","Realiz Chec Intern-Cred Ñ Apro","Checagem Interna de [AndNomePessoa]","<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"">
<html>
<head>
 <meta
 content=""text/html; charset=ISO-8859-1""
 http-equiv=""content-type"">
 <title></title>
</head>
<body>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">Prezado,
[DestNomeCurto]&nbsp;<br>
<br>
O&nbsp;equipamento do Sr(a)&nbsp;[AndNomePessoa], referente ao
processo n&uacute;mero [AndNroProcesso] teve seu cr&eacute;dito
negado pelo financeiro da
Colorado M&aacute;quinas. <o:p></o:p><br>
A a&ccedil;&atilde;o foi devolvida ao CEN [andNomeVendedor] na
fase Vender
para negocia&ccedil;&atilde;o.&nbsp;<o:p></o:p></span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">Atenciosamente,
<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""><o:p></o:p></span></p>
<p class=""MsoNormal""><strong><u><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">[AndNomeReduzidoAtendente]
</span></u></strong><b><u><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""><br>
<strong><span
 style=""font-family: &quot;Arial&quot;,&quot;sans-serif&quot;;"">[AndEmailAtendente]</span></strong><br>
<strong><span
 style=""font-family: &quot;Arial&quot;,&quot;sans-serif&quot;;"">Visite
nosso site: </span></strong></span></u></b><a
 href=""http://www.coloradomaquinas.com.br/""><strong><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">www.coloradomaquinas.com.br</span></strong><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">
</span></a><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""><o:p></o:p></span></p>
</body>
</html>
","13/01/2015 10:07:00","VTCCONS","13/01/2015 10:07:00","VTCCONS","0,0",""
"23","MsCtr_Andamento_EML","Vender Equipa-Pedido Realizado","Verificar aprovação de pedido de [AndNomePessoa]","Prezado, 

O pedido de venda do Sr(a) [AndNomePessoa] foi lançado no CRM pelo CEN [AndVendedor] com o nº do processo [AndNroProcesso]. A ação APROVAR PEDIDO consta pendente em sua agenda e o prazo para andamento é de 4 horas. 
 
Atenciosamente, 



Inteligência de Mercado
","13/01/2015 10:43:00","VTCCONS","09/05/2017 11:08:00","VTCCONS","0,0",""
"24","MsCtr_Andamento_EML","Realiz Chec Inte-Fatur Autoriz","Faturamento Autorizado do cliente [AndNomePessoa]","<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"">
<html>
<head>
 <meta
 content=""text/html; charset=ISO-8859-1""
 http-equiv=""content-type"">
 <title></title>
</head>
<body>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">Prezado,
[DestNomeCurto]<o:p></o:p></span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">O&nbsp;equipamento
do(a) [AndNomePessoa], referente ao processo
n&uacute;mero [AndNroProcesso] j&aacute; est&aacute; com
autoriza&ccedil;&atilde;o do banco para faturamento. A
pr&oacute;xima etapa encontra-se com a Analista de
Cr&eacute;dito&nbsp;para realiza&ccedil;&atilde;o de
checagem interna. <o:p></o:p></span>&nbsp;<o:p></o:p></p>
<span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""></span>
<p class=""MsoNormal"" style=""""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""><o:p></o:p></span></p>
<p class=""MsoNormal""><strong><u><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">[AndNomeReduzidoAtendente]
</span></u></strong><b><u><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""><br>
<strong><span
 style=""font-family: &quot;Arial&quot;,&quot;sans-serif&quot;;"">[AndEmailAtendente]</span></strong><br>
<strong><span
 style=""font-family: &quot;Arial&quot;,&quot;sans-serif&quot;;"">Visite
nosso site: </span></strong></span></u></b><a
 href=""http://www.coloradomaquinas.com.br/""><strong><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">www.coloradomaquinas.com.br</span></strong><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">
</span></a><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""><o:p></o:p></span></p>
</body>
</html>
","13/01/2015 17:48:00","VTCCONS","13/01/2015 17:48:00","VTCCONS","0,0",""
"25","MsCtr_Andamento_EML","Equi Receb-Com Ressalva","Equipamento de [AndNomePessoa], recebido com ressalva.","<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"">
<html>
<head>
 <meta
 content=""text/html; charset=ISO-8859-1""
 http-equiv=""content-type"">
 <title></title>
</head>
<body>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">Prezado
ANTONIO ZUFELLATO, <o:p></o:p></span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">&nbsp;<o:p></o:p></span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">O&nbsp;equipamento
do Sr(a)&nbsp;[AndNomePessoa]&nbsp;que
possui&nbsp;o n&ordm;&nbsp;do processo&nbsp;
[AndNroProcesso] foi&nbsp;recebido
pela&nbsp;oficina de (cidade) com o resultado:&nbsp;RECEBIDO
COM
RESSALVA.&nbsp;&nbsp; <o:p></o:p></span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">&nbsp;<o:p></o:p></span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">Atenciosamente,
<o:p></o:p></span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">[AndNomeReduzidoAtendente]
<br>
[AndEmailAtendente]<br>
Visite nosso site: </span><a
 href=""http://www.coloradomaquinas.com.br/"" target=""_blank""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">www.coloradomaquinas.com.br</span></a><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""><o:p></o:p></span></p>
<p class=""MsoNormal""><a
 href=""http://www.coloradomaquinas.com.br/""><strong><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""></span></strong><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""></span></a><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""><o:p></o:p></span></p>
</body>
</html>
","13/01/2015 17:58:00","VTCCONS","13/01/2015 17:58:00","VTCCONS","0,0",""
"26","MsCtr_Andamento_EML","Equip Receb-Equip Estoque","Em Estoque o Equipamento de [AndNomePessoa]","<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"">
<html>
<head>
 <meta
 content=""text/html; charset=ISO-8859-1""
 http-equiv=""content-type"">
 <title></title>
</head>
<body>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">Prezado
ANTONIO ZUFELLATO,<o:p></o:p><br>
<br>
O&nbsp;equipamento do Sr(a)&nbsp;[AndNomePessoa]&nbsp;que
possui&nbsp;o n&ordm;&nbsp;do processo&nbsp;
[AndNroProcesso] foi&nbsp;recebido
pela&nbsp;oficina da [CnxNomeRedEmpresa] com o resultado:&nbsp;EQUIPAMENTO EM
ESTOQUE.&nbsp;</span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">Atenciosamente,
<o:p></o:p></span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">[AndNomeReduzidoAtendente]
<br>
[AndEmailAtendente]<br>
Visite nosso site: </span><a
 href=""http://www.coloradomaquinas.com.br/"" target=""_blank""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">www.coloradomaquinas.com.br</span></a><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""><o:p></o:p></span></p>
<p class=""MsoNormal""><a
 href=""http://www.coloradomaquinas.com.br/"" target=""_blank""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""></span></a><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""><o:p></o:p></span></p>
<p class=""MsoNormal""><a
 href=""http://www.coloradomaquinas.com.br/""><strong><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""></span></strong><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""></span></a><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""><o:p></o:p></span></p>
</body>
</html>
","13/01/2015 18:11:00","VTCCONS","13/01/2015 18:11:00","VTCCONS","0,0",""
"27","MsCtr_Andamento_EML","Realiz Pre Entr-Reli com Agreg","Maquina liberada Com Agrega de [AndNomePessoa]","Prezado (a),

Maquina liberada com Agrega no equipamento do Sr(a) [AndNomePessoa] que possui o nº do processo [AndNroProcesso] pela oficina. 
[AndDetalhe]


Atenciosamente, 

","13/01/2015 18:17:00","VTCCONS","14/12/2022 10:18:00","DIEGO.MARQUES","0,0",""
"28","MsCtr_Andamento_EML","Realiz Pre Entr-Com Desagrega","Pré Entrega de [AndNomePessoa], realizada com Desagrega.","Prezado (a),

 Foi realizada a Pré-Entrega com Desagrega no equipamento do Sr(a) [AndNomePessoa] que possui o nº do processo [AndNroProcesso] pela oficina. 

 Atenciosamente, 

Inteligência de Mercado","13/01/2015 18:19:00","VTCCONS","18/02/2015 08:21:00","VTCCONS","0,0",""
"29","MsCtr_Andamento_EML","Realiz Pre Entre-Com Desagreg2","Pré Entrega de [AndNomePessoa], realizada com Desagrega","Prezado (a),

Foi realizada a Pré-Entrega com Desagrega no equipamento do Sr(a) [AndNomePessoa] que possui o nº do processo [AndNroProcesso] pela oficina. Por favor proceder com os devidos cadastros (se necessário) e recebimento da peça em estoque. 

 Atenciosamente, 

[AndNomeReduzidoAtendente] 
 [AndEmailAtendente]

","13/01/2015 18:24:00","VTCCONS","16/02/2015 15:39:00","VTCCONS","0,0",""
"30","MsCtr_Andamento_EML","Realiz Chec Inte-Demon Autoriz","Demonstração Autorizada de [AndNomePessoa]","<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"">
<html>
<head>
 <meta
 content=""text/html; charset=ISO-8859-1""
 http-equiv=""content-type"">
 <title></title>
</head>
<body>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">Prezado(a) [DestNomeCurto]&nbsp;,<o:p></o:p><br>
<br>
O&nbsp;equipamento&nbsp;do&nbsp;Sr(a)&nbsp;[AndNomePessoa]&nbsp;que
possui&nbsp;o n&ordm;&nbsp;do processo&nbsp;
[AndNroProcesso]&nbsp;teve seu
faturamento autorizada em demonstra&ccedil;&atilde;o. Por
favor, proceder no CRM com o
faturamento.&nbsp;&nbsp;<o:p></o:p></span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">Atenciosamente,
<o:p></o:p></span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">[AndNomeReduzidoAtendente]
<br>
[AndEmailAtendente]<br>
Visite nosso site: </span><a
 href=""http://www.coloradomaquinas.com.br"" target=""_blank""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">www.coloradomaquinas.com.br</span></a><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""><o:p></o:p></span></p>
</body>
</html>
","13/01/2015 18:28:00","VTCCONS","13/01/2015 18:28:00","VTCCONS","0,0",""
"31","MsCtr_Andamento_EML","Progr Entreg Fisic-Sem Entrega","Sem entrega físca do Equipamento do cliente [AndNomePessoa]","A entrega física do Equipamento do Sr(a) [AndNomePessoa] não será feita pela Colorado Máquinas. Conforme processo número [AndNroProcesso] a venda foi feita com o equipamento posto nas instalações da Colorado, para retirada por parte do cliente. 

Caso, algum fato diferente do relato acima ocorra, favor informar a equipe de Logística. 

Atenciosamente,
ANTONIO.ZUFELLATO 
antonio.zufellato@colorado.com.br
Visite nosso site: www.coloradomaquinas.com.br","14/01/2015 11:36:00","VTCCONS","30/09/2015 13:49:00","VTCCONS","0,0",""
"32","MsCtr_Andamento_EML","Equip Receb-Implement Estoque","Em Estoque o Implemento de [AndNomePessoa]","<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"">
<html>
<head>
 <meta
 content=""text/html; charset=ISO-8859-1""
 http-equiv=""content-type"">
 <title></title>
</head>
<body>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">Prezado
JOSÉ APARECIDO,<o:p></o:p><br>
<br>
O&nbsp;equipamento do Sr(a)&nbsp;[AndNomePessoa]&nbsp;que
possui&nbsp;o n&ordm;&nbsp;do processo&nbsp;
[AndNroProcesso] foi&nbsp;recebido
pela&nbsp;oficina da [CnxNomeRedEmpresa] com o resultado:&nbsp;EQUIPAMENTO EM
ESTOQUE.&nbsp;</span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">Atenciosamente,
<o:p></o:p></span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">[AndNomeReduzidoAtendente]
<br>
[AndEmailAtendente]<br>
Visite nosso site: </span><a
 href=""http://www.coloradomaquinas.com.br/"" target=""_blank""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">www.coloradomaquinas.com.br</span></a><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""><o:p></o:p></span></p>
<p class=""MsoNormal""><a
 href=""http://www.coloradomaquinas.com.br/"" target=""_blank""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""></span></a><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""><o:p></o:p></span></p>
<p class=""MsoNormal""><a
 href=""http://www.coloradomaquinas.com.br/""><strong><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""></span></strong><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""></span></a><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""><o:p></o:p></span></p>
</body>
</html>
","23/01/2015 09:05:00","VTCCONS","23/01/2015 09:05:00","VTCCONS","0,0",""
"33","MsCtr_Andamento_EML","Recebimento Total Implemento","Entrega de Implemento autorizada","Prezado(a) [DestNomeCurto] ,

O implemento do Sr(a) [AndNomePessoa] que possui o nº do processo [AndNroProcesso] teve sua entrega autorizada via Recebimento Total. Por favor, providenciar a entrega do implemento.

Atenciosamente, 

[AndNomeReduzidoAtendente] 
[AndEmailAtendente]

","06/02/2015 08:39:00","JULIANA.PLACIDI","06/02/2015 08:47:00","JULIANA.PLACIDI","0,0",""
"34","MsCtr_Andamento_EML","Entrega Física Adiada","Verificar Entrega Física Adiada [AndNomePessoa]","A entrega física do equipamento ao cliente [AndNomePessoa] processo [AndNroProcesso] foi adiada pelo atendente [AndNomeReduzidoAtendente], segue abaixo o histórico:
[AndDetalhe]

Atenciosamente,
Inteligência de Mercado","16/02/2015 07:20:00","JACQUELINE.DUARTE","16/02/2015 07:22:00","JACQUELINE.DUARTE","0,0",""
"35","MsCtr_Andamento_EML","Faturamento Autorizado","Faturamento Autorizado [AndNomePessoa] [AndNroProcesso]","Prezados, 

O equipamento do(a) [AndNomePessoa], referente ao processo número [AndNroProcesso] já está com autorização para faturamento. A próxima etapa encontra-se com a contabilidade para faturamento.
","16/02/2015 08:36:00","JACQUELINE.DUARTE","12/08/2020 11:33:00","JACQUELINE.DUARTE","0,0",""
"36","MsCtr_Andamento_EML","Confirmado Agrega Custo","Confirmado Agrega Custo [AndNomePessoa] [AndNroProcesso]","Prezado, 
 
Foi confirmado agrega do equipamento do Sr(a) [AndNomePessoa], referente ao processo número [AndNroProcesso]. 
 
 
Atenciosamente, 
 
[AndNomeReduzidoAtendente] 
[AndEmailAtendente] 
","16/02/2015 15:23:00","JACQUELINE.DUARTE","18/04/2021 21:19:00","DIEGO.MARQUES","0,0",""
"37","MsCtr_Andamento_EML","Entrega Física Programada","Entrega Física Programada do cliente [AndNomePessoa]","Prezado (a),

Foi programado a entrega física do maquinário do cliente [AndNomePessoa] referente ao processo [AndNroProcesso], conforme o histórico abaixo:
[AndDetalhe] 
Por favor providenciar chaves e manuais correspondentes a máquina que será entregue.","18/02/2015 08:01:00","JACQUELINE.DUARTE","18/02/2015 08:05:00","JACQUELINE.DUARTE","0,0",""
"38","MsCtr_Andamento_EML","Reliz Pré entrega agrega/desag","Pré entrega realizada com agrega/desagrega de [AndNomePessoa] [AndNroProcesso]","Prezado (a),

Foi realizada a Pré-Entrega com Agrega/Desagrega no equipamento do Sr(a) [AndNomePessoa] que possui o nº do processo [AndNroProcesso] pela oficina. 

Atenciosamente, 

","18/02/2015 08:14:00","JACQUELINE.DUARTE","28/04/2022 07:57:00","DIEGO.MARQUES","0,0",""
"39","MsCtr_Andamento_EML","Realiz Pré entrega desagrega","Pré entrega realizada com desagrega","Prezado (a),

Foi realizada a Pré-Entrega com desagrega no equipamento do Sr(a) [AndNomePessoa] que possui o nº do processo [AndNroProcesso] pela oficina. 

Atenciosamente, 

Inteligência de Mercado","18/02/2015 08:14:00","JACQUELINE.DUARTE","18/02/2015 08:14:00","JACQUELINE.DUARTE","0,0",""
"40","MsCtr_Andamento_EML","Real Pré Entrega s/ alterações","Realizado pré entrega sem alterações","Prezado (a),

 Foi realizada a Pré-Entrega sem alterações no equipamento do Sr(a) [AndNomePessoa] que possui o nº do processo [AndNroProcesso] pela oficina. 

 Atenciosamente, 

Inteligência de Mercado","18/02/2015 08:26:00","JACQUELINE.DUARTE","18/02/2015 08:26:00","JACQUELINE.DUARTE","0,0",""
"41","MsCtr_Andamento_EML","Autorizado entrega Implemento","Autorizado entrega de implemento com Recebimento Parcial","Prezado(a) 

O implemento do Sr(a) [AndNomePessoa] que possui o nº do processo [AndNroProcesso] teve sua entrega autorizada via Recebimento Parcial. Por favor, providenciar a entrega do implemento.

Atenciosamente, 

Inteligência de Mercado","19/02/2015 17:35:00","JACQUELINE.DUARTE","19/04/2021 13:19:00","DIEGO.MARQUES","0,0",""
"42","MsCtr_Andamento_EML","AVISO RECLAMAÇÃO EXP. CLIENTE","AVISO DE INSATISFAÇÃO - PESQUISA EXPERIÊNCIA DO CLIENTE JD","Gestores,
Foi identificada uma Insatisfação na pesquisa Experiência do Cliente realizada pela John Deere, referente ao cliente [AndNomePessoa]. 
Favor verificar a Ação que consta em sua agenda do CRM e entrar em contato com o cliente buscando uma solução para a resolução do caso. Lembre-se de registrar no sistema todo o andamento com as tratativas e concluir a Ação após sua finalização.
Obrigado!

""Nossos clientes insatisfeitos são nossa maior fonte de aprendizado!"" 


Número do processo: [AndNroProcesso]

Seguem informações sobre a insatisfação do cliente:
[AndDetalhe]
[AndDetalheAdicional]



Importante salientar que o contato com o cliente deve ser realizado no máximo em 24 horas, se possível imediatamente. 
Este contato deve ser registrado no processo do CRM, bem como a tratativa mais adequada para o caso.
O prazo para solução da insatisfação é 5 dias úteis e todo e qualquer andamento no processo deve ser registrado para que todos os envolvidos tenham acesso as informações.

","19/02/2015 17:52:00","JACQUELINE.DUARTE","26/10/2020 16:33:00","JACQUELINE.DUARTE","0,0",""
"43","MsCtr_Andamento_EML","AVISO RECLAMAÇÃO -ENTREGA SHOW","AVISO DE RECLAMAÇÃO REGISTRADA DURANTE ENTREGA SHOW","Gestores,

Na Entrega Show realizada ao cliente [AndNomePessoa], foi identificado reclamação que consta no CRM no processo N° [AndNroProcesso]. Esta reclamação esta relacionada a uma das áreas: Peças, Serviços ou Vendas de Máquinas. 
Favor consultar se está em sua agenda, caso positivo, entrar em contato com o cliente e buscar uma solução. 

Lembre-se de registrar no CRM todo o andamento do caso.

Veja abaixo a ""Não-conformidade"" registrada pelo Carlos Cola:

[AndDetalhe]
","25/02/2015 14:46:00","JACQUELINE.DUARTE","10/12/2015 11:37:00","JACQUELINE.DUARTE","0,0",""
"44","RESULTADOS","ENTREGA SHOW","","As configurações da máquina estão conforme o pedido do CRM?

O Cen participou da Entrega?


As etapas do processo de pré-entrega (lavagem, adesivagem, combustivel e etc) foram realizados?


Qual a probabilidade do cliente recomendar a Colorado como concessionário JD? (menor que 9 tem que abrir caso)


O cliente está satisfeito com o processo de vendas? (desde a prospecção do CEN até a entrega da máquina)

","23/03/2015 12:14:00","JULIANA.PLACIDI","23/03/2015 12:14:00","JULIANA.PLACIDI","0,0",""
"45","RESULTADOS","Analisar Insatisfação","","Feito contato pessoal ou telefônico com o cliente?


Solução informada ao cliente:


O cliente está satisfeito com a solução aplicada?

","31/03/2015 11:21:00","JACQUELINE.DUARTE","31/03/2015 14:34:00","JACQUELINE.DUARTE","0,0",""
"46","MsCtr_Andamento_EML","Verificar AMS","Pedido aprovado, verificar AMS","Prezado, [DestNomeCurto] 

O pedido de venda do Sr(a) [AndNomePessoa] foi lançado no CRM pelo CEN [AndNomeReduzidoAtendente] com o nº do processo [AndNroProcesso]. A ação VERIFICAR AMS consta pendente em sua agenda e o prazo para andamento é de 24 horas. 
 
Atenciosamente, 



Inteligência de Mercado","20/05/2015 12:42:00","JULIANA.PLACIDI","20/05/2015 13:13:00","JULIANA.PLACIDI","0,0",""
"47","MsCtr_Andamento_EML","Contato com o Banco","[AndDescResultado] - Cliente [AndNomePessoa]","Prezado [DestNomeCurto],

Foi realizado contato com o Banco do processo [AndNroProcesso] referente ao cliente [AndNomePessoa]

Vide abaixo o resumo do contato:
[AndDetalhe]
[AndDetalheAdicional]","25/06/2015 10:47:00","JULIANA.PLACIDI","25/06/2015 10:53:00","JULIANA.PLACIDI","0,0",""
"48","MsCtr_Andamento_EML","Call Center: Cliente c/ Intere","Clientes contatados pelo Call Center que demonstraram interesse em visitas","O Call Center entrou em contato com [AndNomePessoa] processo [AndNroProcesso] e o cliente demonstrou interesse em receber visita do CEN [AndVendedor] .
Gerente, acompanhar se o CEN cumprirá a agenda de ATENDER DEMANDA CALL CENTER que está programada em sua agenda.","25/06/2015 16:40:00","JULIANA.PLACIDI","06/07/2015 11:23:00","JULIANA.PLACIDI","0,0",""
"49","MsCtr_Andamento_EML","Confirmar Incentivo Alçada","Confirmar Incentivo Alçada [AndNomePessoa]","Prezado Sidnei, 

O equipamento do [AndNomePessoa] está aguardando sua confirmação sobre o incentivo alçada.
Favor enviar a confirmação para o Rodrigo do financeiro (rodrigo.lopes@colorado.com.br).

Atenciosamente,
Colorado Máquinas","18/09/2015 16:20:00","JULIANA.PLACIDI","18/09/2015 16:53:00","JULIANA.PLACIDI","0,0",""
"50","MsCtr_Andamento_EML","VENDA DIRETA","Venda Direta cliente [AndNomePessoa]","Prezados, 

O cliente [AndNomePessoa] efetuou uma compra direta com a fábrica que está registrada no processo de nº [AndNroProcesso] 
As informações dessa venda encontram-se no Formulário Acompanhamento Venda Direta e o Contrato está anexado na aba Documentos do Processo.

Atenciosamente,
Equipe CRM","02/10/2015 17:01:00","VTCCONS","02/10/2015 17:45:00","VTCCONS","0,0",""
"51","MsCtr_Andamento_EML","NF Faturar","NF Faturar - Cliente [AndNomePessoa] [AndNroProcesso]","Seguem as informações do financeiro para faturamento do equipamento do cliente [AndNomePessoa] com o processo[AndNroProcesso]:

[AndDescResultado]","13/04/2016 09:31:00","JULIANA.PLACIDI","13/04/2016 09:56:00","JULIANA.PLACIDI","0,0",""
"52","MsCtr_Andamento_EML","Data _ finalização Pré Entrega","Data de finalização da pré-entrega processo [AndNroProcesso] - [AndNomePessoa]","Equipamento do sr(a) [AndNomePessoa] do processo [AndNroProcesso]:
[AndDetalhe]
","13/04/2016 10:37:00","JULIANA.PLACIDI","13/04/2016 10:51:00","JULIANA.PLACIDI","0,0",""
"53","MsCtr_Andamento_EML","NF Comissão Venda Direta","Emissão da NF Comissão Venda Direta - [AndNomePessoa]","Foi emitida a NF de comissão de venda direta do cliente [AndNomePessoa] com processo nº [AndNroProcesso].
O centro de custo creditado foi [AndComplementoResultado] na data [AndDataRealizacao].

[AndDetalhe]

Qualquer dúvida acessar o processo nº [AndNroProcesso] e consultar os formulários e históricos.

","10/05/2016 11:57:00","JULIANA.PLACIDI","13/07/2016 12:00:00","JULIANA.PLACIDI","0,0",""
