"SeqResMsgPapel","Resultado","AtitudeUsr","NroEmpresa","ResultadoCmpl","Grupo","Ordem","TipoDest","Papel","Canal","SeqTxtPadrao","Template","Remetente","DtaInclusao","UsuInclusao","DtaAlteracao","UsuAlteracao","PesFormulario","PesResultado","QTDEDIAS","QTDEHU","SEQCONTAENVIO","TIPOPREFENVIO","INDENVIAQLQERHORA","EMUSO","PRIORIDADE","DESCRICAOMENSAGEM","OBJETIVOMSG"
"19","940186"," ","2","","","","USR","321","EML","1","","","16/02/2012 16:58:34","VTCCONS","11/12/2017 17:11:07","VANESSA.ALVES","","","","","","","","1","5","",""
"20","940186"," ","3","","","","USR","323","EML","1","","","16/02/2012 16:58:50","VTCCONS","11/12/2017 17:11:07","VANESSA.ALVES","","","","","","","","1","5","",""
"21","940186"," ","6","","","","USR","324","EML","1","","","16/02/2012 16:59:24","VTCCONS","11/12/2017 17:11:07","VANESSA.ALVES","","","","","","","","1","5","",""
"22","940186"," ","4","","","","USR","321","EML","1","","","16/02/2012 16:59:44","VTCCONS","11/12/2017 17:11:07","VANESSA.ALVES","","","","","","","","1","5","",""
"23","940186"," ","5","","","","USR","320","EML","1","","","16/02/2012 17:00:14","VTCCONS","11/12/2017 17:11:07","VANESSA.ALVES","","","","","","","","1","5","",""
"24","940186"," ","1","","","","USR","319","EML","1","","","16/02/2012 17:00:38","VTCCONS","11/12/2017 17:11:07","VANESSA.ALVES","","","","","","","","1","5","",""
"77","31"," ","","","","","USR","-7","EML","14","","","08/02/2013 14:18:11","MARCELO.EDER","30/11/2017 16:40:11","VANESSA.ALVES","","","","","","","","1","5","",""
"78","42"," ","","","","","USR","-7","EML","14","","","08/02/2013 14:19:52","MARCELO.EDER","30/11/2017 16:39:56","VANESSA.ALVES","","","","","","","","1","5","",""
"106","189"," ","","Insatisfeito","","","USR","329","EML","15","","#ATD","27/06/2014 14:18:39","JULIANA.PLACIDI","","","","","","","","","","1","5","",""
"117","295"," ","","","1","1","USR","392","EML","18","","crm@colorado.com.br","12/01/2015 16:19:52","VTCCONS","12/01/2015 16:33:47","VTCCONS","","","","","","","","1","5","",""
"118","295"," ","","","1","1","USR","3","EML","18","","crm@colorado.com.br","12/01/2015 16:39:39","VTCCONS","","","","","","","","","","1","5","",""
"122","349"," ","","","1","1","USR","-5","EML","17","","","13/01/2015 17:29:18","VTCCONS","11/12/2017 17:21:09","VANESSA.ALVES","","","","","","","","1","5","",""
"125","296"," ","","","1","1","USR","-5","EML","21","","","13/01/2015 17:50:03","VTCCONS","30/11/2017 17:23:33","VANESSA.ALVES","","","","","","","","1","5","",""
"126","231"," ","","","1","1","USR","-5","EML","22","","","13/01/2015 17:52:04","VTCCONS","30/11/2017 16:49:03","VANESSA.ALVES","","","","","","","","1","5","",""
"135","271"," ","","","1","1","USR","-5","EML","31","","","14/01/2015 11:40:02","VTCCONS","30/11/2017 16:43:17","VANESSA.ALVES","","","","","","","","1","5","",""
"136","342"," ","","","1","1","USR","-5","EML","31","","","14/01/2015 15:06:52","VTCCONS","11/12/2017 17:15:00","VANESSA.ALVES","","","","","","","","1","5","",""
"138","335"," ","","","","1","USR","-5","EML","32","","","23/01/2015 09:02:11","VTCCONS","30/11/2017 17:31:34","VANESSA.ALVES","","","","","","","","1","5","",""
"139","330"," ","","","1","1","USR","-5","EML","66","","","23/01/2015 09:06:02","VTCCONS","30/11/2017 17:28:07","VANESSA.ALVES","","","","","","","","1","5","",""
"140","317"," ","","","1","1","USR","-5","EML","18","","","23/01/2015 09:06:54","VTCCONS","30/11/2017 17:30:42","VANESSA.ALVES","","","","","","","","1","5","",""
"146","306"," ","","","1","1","USR","412","EML","23","","","23/01/2015 09:13:45","VTCCONS","30/11/2017 17:24:56","VANESSA.ALVES","","","","","","","","1","5","",""
"153","343"," ","","","","","USR","406","EML","34","","","16/02/2015 07:20:30","JACQUELINE.DUARTE","11/12/2017 17:15:36","VANESSA.ALVES","","","","","","","","1","5","",""
"155","343"," ","","","","","USR","-5","EML","34","","","16/02/2015 07:27:25","JACQUELINE.DUARTE","11/12/2017 17:15:36","VANESSA.ALVES","","","","","","","","1","5","",""
"156","343"," ","","","","","USR","290","EML","34","","","16/02/2015 07:26:57","JACQUELINE.DUARTE","11/12/2017 17:15:36","VANESSA.ALVES","","","","","","","","1","5","",""
"157","343"," ","","","","","USR","412","EML","34","","","16/02/2015 07:29:41","JACQUELINE.DUARTE","11/12/2017 17:15:36","VANESSA.ALVES","","","","","","","","1","5","",""
"158","235"," ","","","","","USR","-5","EML","34","","","16/02/2015 07:31:31","JACQUELINE.DUARTE","30/11/2017 16:52:23","VANESSA.ALVES","","","","","","","","1","5","",""
"160","235"," ","","","","","USR","290","EML","34","","","16/02/2015 07:32:11","JACQUELINE.DUARTE","30/11/2017 16:52:23","VANESSA.ALVES","","","","","","","","1","5","",""
"162","235"," ","","","","","USR","448","EML","34","","","16/02/2015 07:32:47","JACQUELINE.DUARTE","30/11/2017 16:52:23","VANESSA.ALVES","","","","","","","","1","5","",""
"180","330"," ","","","1","1","USR","412","EML","66","","","16/02/2015 11:48:29","JACQUELINE.DUARTE","30/11/2017 17:28:07","VANESSA.ALVES","","","","","","","","1","5","",""
"181","330"," ","","","1","1","USR","290","EML","66","","","16/02/2015 11:49:06","JACQUELINE.DUARTE","30/11/2017 17:28:07","VANESSA.ALVES","","","","","","","","1","5","",""
"185","274"," ","","","1","1","USR","577","EML","36","","","16/02/2015 15:20:40","JACQUELINE.DUARTE","30/11/2017 17:11:50","VANESSA.ALVES","","","","","","","","1","5","",""
"186","274"," ","","","1","1","USR","290","EML","36","","","16/02/2015 15:26:19","JACQUELINE.DUARTE","30/11/2017 17:11:50","VANESSA.ALVES","","","","","","","","1","5","",""
"189","228"," ","","","1","1","USR","406","EML","37","","","18/02/2015 08:02:07","JACQUELINE.DUARTE","30/11/2017 17:10:59","VANESSA.ALVES","","","","","","","","1","5","",""
"208","228"," ","","","1","1","USR","-5","EML","37","","","18/02/2015 08:38:13","JACQUELINE.DUARTE","30/11/2017 17:10:59","VANESSA.ALVES","","","","","","","","1","5","",""
"216","365"," ","","","1","1","USR","412","EML","41","","","19/02/2015 17:35:17","JACQUELINE.DUARTE","11/12/2017 17:22:31","VANESSA.ALVES","","","","","","","","1","5","",""
"217","365"," ","","","1","1","USR","290","EML","41","","","19/02/2015 17:35:17","JACQUELINE.DUARTE","11/12/2017 17:22:31","VANESSA.ALVES","","","","","","","","1","5","",""
"227","127"," ","","Insatisfeito Serviço","1","1","USR","354","EML","42","","","19/02/2015 17:50:28","JACQUELINE.DUARTE","13/12/2018 14:19:23","VANESSA.ALVES","","","","0,00","","","","1","5","",""
"229","127"," ","6","Insatisfeito Peças","1","1","USR","276","EML","42","","","19/02/2015 17:56:18","JACQUELINE.DUARTE","13/12/2018 14:19:23","VANESSA.ALVES","","","","0,00","","","","1","5","",""
"230","127"," ","6","Insatisfeito Serviço","1","1","USR","12","EML","42","","","19/02/2015 17:56:18","JACQUELINE.DUARTE","13/12/2018 14:19:23","VANESSA.ALVES","","","","0,00","","","","1","5","",""
"231","127"," ","6","Insatisfeito Vendas","1","1","USR","245","EML","42","","","19/02/2015 17:56:18","JACQUELINE.DUARTE","13/12/2018 14:19:23","VANESSA.ALVES","","","","0,00","","","","1","5","",""
"232","127"," ","4","Insatisfeito Peças","1","1","USR","275","EML","42","","","19/02/2015 17:56:18","JACQUELINE.DUARTE","13/12/2018 14:19:23","VANESSA.ALVES","","","","0,00","","","","1","5","",""
"233","127"," ","4","Insatisfeito Serviço","1","1","USR","10","EML","42","","","19/02/2015 17:56:18","JACQUELINE.DUARTE","13/12/2018 14:19:23","VANESSA.ALVES","","","","0,00","","","","1","5","",""
"234","127"," ","4","Insatisfeito Vendas","1","1","USR","246","EML","42","","","19/02/2015 17:56:17","JACQUELINE.DUARTE","13/12/2018 14:19:23","VANESSA.ALVES","","","","0,00","","","","1","5","",""
"235","127"," ","5","Insatisfeito Peças","1","1","USR","272","EML","42","","","19/02/2015 17:56:17","JACQUELINE.DUARTE","13/12/2018 14:19:23","VANESSA.ALVES","","","","0,00","","","","1","5","",""
